confirm_day,case
2021-08-07,448
2021-08-08,416
2021-08-09,357
2021-08-10,658
2021-08-11,533
2021-08-12,525
2021-08-13,515
2021-08-14,484
2021-08-15,362
2021-08-16,368
2021-08-17,515
2021-08-18,567
2021-08-19,560
2021-08-20,519
2021-08-21,498
2021-08-22,386
2021-08-23,437
2021-08-24,686
2021-08-25,564
2021-08-26,561
2021-08-27,562
2021-08-28,519
2021-08-29,442
2021-08-30,455
2021-08-31,675
2021-09-01,544
2021-09-02,550
2021-09-03,558
2021-09-04,525
2021-09-05,454
2021-09-06,476
2021-09-07,691
2021-09-08,654
2021-09-09,678
2021-09-10,649
2021-09-11,658
2021-09-12,557
2021-09-13,541
2021-09-14,807
2021-09-15,719
2021-09-16,739
2021-09-17,701
2021-09-18,751
2021-09-19,598
2021-09-20,652
2021-09-21,648
2021-09-22,646
2021-09-23,911
2021-09-24,1216
2021-09-25,952
2021-09-26,786
2021-09-27,847
2021-09-28,1051
2021-09-29,1051
2021-09-30,858
2021-10-01,802
2021-10-02,689
2021-10-03,570
2021-10-04,506
2021-10-05,692
2021-10-06,819
2021-10-07,755
2021-10-08,715
2021-10-09,571
2021-10-10,528
2021-10-11,479
2021-10-12,574
2021-10-13,748
2021-10-14,676
2021-10-15,582
2021-10-16,507
2021-10-17,351
2021-10-18,299
2021-10-19,514
2021-10-20,496
2021-10-21,526
2021-10-22,546
2021-10-23,516
2021-10-24,461
2021-10-25,422
2021-10-26,730
2021-10-27,801
2021-10-28,771
2021-10-29,699
2021-10-30,764
2021-10-31,640
2021-11-01,594
2021-11-02,1018
2021-11-03,940
2021-11-04,978
2021-11-05,913
2021-11-06,854
2021-11-07,708
2021-11-08,656
2021-11-09,977
2021-11-10,1014
2021-11-11,958
2021-11-12,978
2021-11-13,983
2021-11-14,884
2021-11-15,822
2021-11-16,1451
2021-11-17,1423
2021-11-18,1393
2021-11-19,1374
2021-11-20,1399
2021-11-21,1209
2021-11-22,1145
2021-11-23,1723
